Theme - code,Theme - Label,Goal,Goal - Label,Outcome,Outcome - Label,Indicator,Unit of measure,Breakdowns,Data source,Corresponding SDG indicator,Code in '.stat',Corresponding NMDI indicator,DataFlow - NON SDG,Delivery priority (H/M/L),Already in .Stat,Data Visualization,Type of figure,# of figure,Comments,Updated in Test Dashboard (Thomas),Graph ok/ko Alison/Amandine,PDH.stat Link ok/ko,Status,Comment,Add a description of the indicator,Max for the scale,change values,SEX,AGE,URBANIZATION,INCOME,EDUCATION LEVEL,OCCUPATION,COMPOSITE BREAKDOWN,DISABILITY,check availability in .stat (production),Link,Status of the BP50 link in the Dashboard (production),Comment2,BP50 link in production,Comment Release 2,Draft text to accompany cartoon (for finalisation upon seeing the cartoons),Negative values
1,Political Leadership and Regionalism,1,"Pacific regionalism will be supported by a unified, cohesive and inclusive political leadership grounded in the Pacific Way and the Leaders commitments and values of the 2050 Strategy",1.2,"The Pacific demonstrates strong and accountable leadership, that is consistent with existing regional commitments on good governance, accountable leadership, democratic principles, and values.",WGI: Control of Corruption,INDEX,No,World Bank,,CC_EST,,DF_WBWGI,H,Y,,Line chart,,,,OK,OK,Approved,Phase 2: start 2000,No comment,,NO,,,,,,,,,YES,.Stat Data Explorer • Selection of World Bank Worldwide Governance Indicators (WB WGI) for Pacific Island Countries and Territories (pacificdata.org),Approved,,,,,yes
1,Political Leadership and Regionalism,1,"Pacific regionalism will be supported by a unified, cohesive and inclusive political leadership grounded in the Pacific Way and the Leaders commitments and values of the 2050 Strategy ",1.3,"Improved enabling environment for increased representation and participation of all Pacific Peoples, including women and girls in all their diversity in leadership to ensure, inclusive and equitable sharing of resources and opportunities. ",Proportion of seats held by women in national parliaments,PERCENT,No,Parline Database,5.5.1,SG_GEN_PARL,,,H,Y,Figure,Column with Drilldown,,"First X axis: GEO_PICT, second X axis: YEAR",Yes,OK,OK,Approved,,No comment,60,NO,_T,_T,_T,_T,_T,_T,_Z,_T,YES,.Stat Data Explorer • Sustainable Development Goal 05 - Gender Equality (pacificdata.org),Approved,,,,,
1,Political Leadership and Regionalism,1,"Pacific regionalism will be supported by a unified, cohesive and inclusive political leadership grounded in the Pacific Way and the Leaders commitments and values of the 2050 Strategy ",1.0,"All Pacific People benefit from Forum Leaders, regional systems and partnerships working together to deliver on the region’s priorities", -,,,,,,,,L (needs defining),N,Not enough data,,,,,,,,"Add ""indicators not yet available"" mention",,,,,,,,,,,,,,,,,,,
1,Political Leadership and Regionalism,2,"The Pacific Region will be supported by a responsive, efficient and inclusive regional system that promotes deeper integration and drives Partnerships that recognise, respects and support our collective values and priorities",2.2,"All partners recognise and utilise existing national and regional decisions and mechanisms to consult, shape, and drive the alignment with the 2050 Strategy and its Implementation Plan to support the regional architecture in the Pacific.",Proportion of project objectives in new development interventions drawn from country-led result frameworks - data by recipient ,PERCENT,,,17.15.1,SG_PLN_RECNDI,,,H,Y,Figure,Column chart,,,Yes,OK,OK,Approved,"
",No comment,,NO,,,,,,,,,YES,.Stat Data Explorer • Sustainable Development Goal 17 - Partnerships for the Goals (pacificdata.org),Approved,,,,,
1,Political Leadership and Regionalism,2,"The Pacific Region will be supported by a responsive, efficient and inclusive regional system that promotes deeper integration and drives Partnerships that recognise, respects and support our collective values and priorities",2.3,The Pacific region is recognised as a leading contributor to global discourse to ensure global actors align with regional initiatives to which responds to the vulnerabilities and characteristics of the Pacific.,"Total assistance for development, by recipient countries",USD,,,10.b.1,DC_TRF_TOTL,,,H,Y,Figure,Line chart,,,Yes,OK,OK,Approved,,No comment,,NO,,,,,,,,,YES,.Stat Data Explorer • Sustainable Development Goal 10 - Reduced Inequalities (pacificdata.org),Approved,,,,,yes
1,Political Leadership and Regionalism,2,"The Pacific Region will be supported by a responsive, efficient and inclusive regional system that promotes deeper integration and drives Partnerships that recognise, respects and support our collective values and priorities",2.3,The Pacific region is recognised as a leading contributor to global discourse to ensure global actors align with regional initiatives to which responds to the vulnerabilities and characteristics of the Pacific.,"Net official development assistance (ODA) to small island states (SIDS) from OECD-DAC countries, by donor countries ",PERCENT,,,17.2.1,DC_ODA_SIDS,,,H,N,Cartoon,,,Missing data ,,,,,Add comments,To do,,,,,,,,,,,NO,,Approved,,,,,
1,Political Leadership and Regionalism,1,"Pacific regionalism will be supported by a unified, cohesive and inclusive political leadership grounded in the Pacific Way and the Leaders commitments and values of the 2050 Strategy ",1.1,Strengthen Pacific leadership grounded in the Pacific Way and the Leaders commitments and values of the 2050 Strategy, -,,,,,,,,L (needs defining),N,Not enough data,,,,,,,,"Add ""indicators not yet available"" mention",,,,,,,,,,,,,,,,,,,
2,People Centred Development,1,Improved health and well-being of all Pacific peoples.,1.2,"Strengthened coverage, quality, accessibility, affordability, and resilience of health and wellbeing services.",Service coverage for mental health (TBD),,,HIMF,,BPI_CMH,,(new indicator),H,N,Cartoon,,,Missing data - Cartoon + text,,,,,add a sentence / no data,To do,,,,,,,,,,,NO,no data,Approved,,,,,
2,People Centred Development,2,"Improved educational achievement of Pacific learners through quality, accessible, affordable, and inclusive education at all levels. ",2.1,Strengthened institutional capacity and capability to deliver Pacific education outcomes.,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment. (no data)",INDEX,,,4.7.1,SPC_4_7_1,,,H,Y,Cartoon,,,Cartoon with a story base / The indicator will change.,,,,,Cartoon? Sentence,To do,,,,,,,,,,,NO,No data,Approved,,,,,
2,People Centred Development,3,"The Pacific region realises human rights, gender equality, equity, and social inclusion.",3.1,"Strengthened institutional capacity and capability in Pacific island countries to promote and protect human rights, gender equality, equity, and social inclusion",Proportion of children under 5 years of age whose births have been registered with a civil authority,PERCENT,Sex,,16.9.1,SG_REG_BRTH,,,H,Y,Figure,Column chart,,,,OK,OK,Approved,,Approved,100,YES,_T,Y00T04,_T,_T,_T,_T,_Z,_T,YES,".Stat Data Explorer • Sustainable Development Goal 16 - Peace, Justice and Strong Institutions (pacificdata.org)",Approved,,,,,
2,People Centred Development,3,"The Pacific region realises human rights, gender equality, equity, and social inclusion.",3.0,"The human rights of all Pacific peoples are respected, protected, and realised.  ",Proportion of population subjected to physical violence in the previous 12 months,PERCENT,Type of violence,,16.1.3,VC_VOV_PHYL,,,H,N,Cartoon,,,No data for the moment,,,,,Sentence,To do,,,,,,,,,,,NO,no data,Approved,,,,,
2,People Centred Development,3,"The Pacific region realises human rights, gender equality, equity, and social inclusion.",3.1,"Strengthened institutional capacity and capability in Pacific island countries to promote and protect human rights, gender equality, equity, and social inclusion","Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) - Area 1: overarching legal frameworks and public life",NUMBER,Area (1),,5.1.1,SG_LGL_GENEQLFP,,,H,Y,Figure,Column chart,,,,OK,OK,Approved,Phase 2: Cartoon + change for a table,No comment,,,,,,,,,,,YES,https://stats.pacificdata.org/vis?fs[0]=Development%20indicators%2C0%7CSustainable%20Development%20Goals%23SDG%23&pg=0&fc=Development%20indicators&bp=true&snb=18&df[ds]=ds%3ASPC2&df[id]=DF_SDG_05&df[ag]=SPC&df[vs]=3.0&lo=1&lom=LASTNOBSERVATIONS&dq=A.SG_LGL_GENEQLFP.._T._T._T.._T._T._Z.&to[TIME_PERIOD]=false&lb=bt,Approved,,,,,
2,People Centred Development,1,Improved health and well-being of all Pacific peoples.,1.0,Improved health outcomes for all Pacific Peoples particularly vulnerable communities and marginalised groups.,Maternal mortality,Per 100000,No,,3.1.1,SH_STA_MORT,,,H,Y,Figure,Column with Drilldown,,"First X axis: GEO_PICT, second X axis: YEAR",Yes,OK,OK,Approved,,Approved,,NO,,,,,,,,,YES,.Stat Data Explorer • Sustainable Development Goal 03 - Good Health and Well-Being (pacificdata.org),Approved,,,,,
2,People Centred Development,1,Improved health and well-being of all Pacific peoples.,1.0,Improved health outcomes for all Pacific Peoples particularly vulnerable communities and marginalised groups.,Under-five mortality rate,PER 1000,Sex,,3.2.1,SH_DYN_MORT,,,H,Y,Figure,Column with Drilldown,,"First X axis: GEO_PICT, second X axis: YEAR, SEX",Yes,OK,OK,Approved,,No comment,,NO,,,,,,,,,YES,.Stat Data Explorer • Sustainable Development Goal 03 - Good Health and Well-Being (pacificdata.org),Approved,,,,,
2,People Centred Development,1,Improved health and well-being of all Pacific peoples.,1.1,Strengthened institutional capacity and capability to address national and regional health priorities.,Multi-sectoral NCD taskforce (MANA L1),,,MANA Dashboard,,BPI_MANAL1,,(new indicator),H,N,Figure,Lollypop,,6 point scale to be represented,,OK,OK,Approved,,Approved,6,NO,,,,,,,,,NO,Not yet,Approved,,,,,
2,People Centred Development,1,Improved health and well-being of all Pacific peoples.,1.0,Improved health outcomes for all Pacific Peoples particularly vulnerable communities and marginalised groups.,Tuberculosis incidence,Per 100000,Sex,,3.3.2,SH_TBS_INCD,,,H,Y,Figure,Line chart,,,Yes,OK,OK,Approved,,No comment,,NO,,,,,,,,,YES,.Stat Data Explorer • Sustainable Development Goal 03 - Good Health and Well-Being (pacificdata.org),Approved,,,,,
2,People Centred Development,1,Improved health and well-being of all Pacific peoples.,1.0,Improved health outcomes for all Pacific Peoples particularly vulnerable communities and marginalised groups.,"Malaria incidence per 1,000 population at risk",PER 1000,Sex,,3.3.3,SH_STA_MALR,,,H,Y,Figure,Single value Circle,1,"Only 3 PICs with malaria, so circle with 3 in it and comment that malaria has been eradictaed in all but 3 PICs",,OK,OK,Approved,,Approved,,YES,,,,,,,,,YES,.Stat Data Explorer • Sustainable Development Goal 03 - Good Health and Well-Being (pacificdata.org),Approved,,,,,
2,People Centred Development,1,Improved health and well-being of all Pacific peoples.,1.0,Improved health outcomes for all Pacific Peoples particularly vulnerable communities and marginalised groups.,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",PERCENT,Sex,,3.4.1,SH_DTH_NCD,,,H,Y,Figure,Column with Drilldown,,"First X axis: GEO_PICT, second X axis: YEAR",Yes,OK,OK,Approved,,Approved,100,NO,,,,,,,,,YES,.Stat Data Explorer • Sustainable Development Goal 03 - Good Health and Well-Being (pacificdata.org),Approved,,,,,
2,People Centred Development,1,Improved health and well-being of all Pacific peoples.,1.0,Improved health outcomes for all Pacific Peoples particularly vulnerable communities and marginalised groups.,"Mortality rate attributable to unsafe water, sanitation and lack of hygiene",PER 100000,Sex,,3.9.2,SH_STA_WASH,,,H,Y,Figure,Column chart,,no total by sex,Yes,OK,OK,Approved,,No comment,,NO,,,,,,,,,YES,.Stat Data Explorer • Sustainable Development Goal 03 - Good Health and Well-Being (pacificdata.org),Approved,,,,,
2,People Centred Development,3,"The Pacific region realises human rights, gender equality, equity, and social inclusion.",3.0,"The human rights of all Pacific peoples are respected, protected, and realised.  ",Proportion of population subjected to robbery in the previous 12 months,PERCENT,Type of violence,,16.1.3,VC_VOV_ROBB,,,H,N,Cartoon,,,No data for the moment,,,,,Sentence,To do,,,,,,,,,,,NO,no data,Approved,,,,,
2,People Centred Development,3,"The Pacific region realises human rights, gender equality, equity, and social inclusion.",3.1,"Strengthened institutional capacity and capability in Pacific island countries to promote and protect human rights, gender equality, equity, and social inclusion"," Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) - Area 2: violence against women",NUMBER,Area (2),,5.1.1,SG_LGL_GENEQVAW,,,H,Y,Figure,Column chart,,,,OK,OK,Approved,Phase 2: Cartoon + change for a table,No comment,,,,,,,,,,,YES,.Stat Data Explorer • Sustainable Development Goal 05 - Gender Equality (pacificdata.org),Approved,,,,,
2,People Centred Development,3,"The Pacific region realises human rights, gender equality, equity, and social inclusion.",3.1,"Strengthened institutional capacity and capability in Pacific island countries to promote and protect human rights, gender equality, equity, and social inclusion","Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) - Area 3: employment and economic benefits",NUMBER,Area (3),,5.1.1,SG_LGL_GENEQEMP,,,H,Y,Figure,Column chart,,,,OK,OK,Approved,Phase 2: Cartoon + change for a table,No comment,,,,,,,,,,,YES,.Stat Data Explorer • Sustainable Development Goal 05 - Gender Equality (pacificdata.org),Approved,,,,,
2,People Centred Development,3,"The Pacific region realises human rights, gender equality, equity, and social inclusion.",3.0,"The human rights of all Pacific peoples are respected, protected, and realised.  ",Proportion of population subjected to sexual violence in the previous 12 months,PERCENT,Type of violence,,16.1.3,VC_VOV_SEXL,,,H,N,Cartoon,,,No data for the moment,,,,,Sentence,To do,,,,,,,,,,,NO,no data,Approved,,,,,
2,People Centred Development,2,"Improved educational achievement of Pacific learners through quality, accessible, affordable, and inclusive education at all levels. ",2.0,Improved educational achievement of all Pacific learners. ,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics,PERCENT,"Skill, sex, education level",PILNA,4.1.1.,SE_TOT_PRFL,,,H,Y,Figure,Column chart,,Select grade end of primary -as per SDG Dashboard,,OK,OK,Approved,,Approved,100,YES,_T,_T,_T,_T,(1_G5) + (1_G7) + (1_y6),_T,(SKILL_MIN_LTRCY) + (SKILL_MIN_NMRCY),_T,YES,.Stat Data Explorer • Sustainable Development Goal 04 - Quality Education (pacificdata.org),Approved,,,,,
2,People Centred Development,1,Improved health and well-being of all Pacific peoples.,1.2,"Strengthened coverage, quality, accessibility, affordability, and resilience of health and wellbeing services.",Population using an improved drinking water source,PERCENT,,,6.1.1,SH_H2O_IMPR,,,H,Y,Figure,Column chart,,no drilldown,,OK,OK,Approved,,Approved,100,YES,_T,_T,_T,_T,_T,_T,_Z,_T,YES,.Stat Data Explorer • Sustainable Development Goal 06 - Clean Water and Sanitation (pacificdata.org),Approved,,.Stat Data Explorer • Blue Pacific 2050 (all) (pacificdata.org),,,
2,People Centred Development,2,"Improved educational achievement of Pacific learners through quality, accessible, affordable, and inclusive education at all levels. ",2.1,Strengthened institutional capacity and capability to deliver Pacific education outcomes.,Trained teachers Key indicator (primary and secondary),PERCENT,Education level,,4.c.1,SE_GC_TCAQ,,,H,Y,Figure,Column chart,,Chart for primary & secondary,,OK,OK,Approved,,Approved,100,YES,_T,_T,_T,_T,(1) + (2-3),_T,_Z,_T,YES,.Stat Data Explorer • Sustainable Development Goal 04 - Quality Education (pacificdata.org),Approved,,,,,
2,People Centred Development,1,Improved health and well-being of all Pacific peoples.,1.1,Strengthened institutional capacity and capability to address national and regional health priorities.,International Health Regulations (IHR) capacity,INDEX,,,3.d.1,SH_IHR_CAPS,,,H,Y,Figure,Column chart,,,Yes,OK,OK,Approved,,Approved,100,YES,_T,_T,_T,_T,_T,_T,_Z,_T,YES,.Stat Data Explorer • Sustainable Development Goal 03 - Good Health and Well-Being (pacificdata.org),Approved,,,,,
2,People Centred Development,1,Improved health and well-being of all Pacific peoples.,1.2,"Strengthened coverage, quality, accessibility, affordability, and resilience of health and wellbeing services.",Coverage of essential health services,INDEX,,,3.8.1,SPC_3_8_1,,,H,Y,Figure,Column chart,,,Yes,OK,OK,Approved,,No comment,,YES,_T,_T,_T,_T,_T,_T,_Z,_T,YES,.Stat Data Explorer • Sustainable Development Goal 03 - Good Health and Well-Being (pacificdata.org),Approved,,.Stat Data Explorer • Blue Pacific 2050 (all) (pacificdata.org),,,
2,People Centred Development,2,"Improved educational achievement of Pacific learners through quality, accessible, affordable, and inclusive education at all levels. ",2.2,Strengthened Pacific education curriculum and assessment systems to meet employment and national development needs. ,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) ",PER 1000,,,3.7.2,SP_DYN_ADKL,,,H,Y,Figure,Column chart,,Pregnant teenager with descriptive text on range,,OK,OK,Approved,,Approved,,YES,F,Y15T19,_T,_T,_T,_T,_Z,_T,YES,.Stat Data Explorer • Sustainable Development Goal 03 - Good Health and Well-Being (pacificdata.org),Approved,,,,,
2,People Centred Development,2,"Improved educational achievement of Pacific learners through quality, accessible, affordable, and inclusive education at all levels. ",2.0,Improved educational achievement of all Pacific learners. ,Proportion of population in a given age group achieving at least a fixed level of proficiency in literacy and numeracy skills,PERCENT,"Skill, sex, age",,4.6.1,SPC_4_6_1,,,H,Y,Figure,Column chart,,15-24 year age group,,OK,OK,Approved,,Approved,100,YES,_T,Y15T24,_T,_T,_T,_T,SKILL_LTRCY,_T,YES,.Stat Data Explorer • Sustainable Development Goal 04 - Quality Education (pacificdata.org),Approved,,,,,
2,People Centred Development,1,Improved health and well-being of all Pacific peoples.,1.0,Improved health outcomes for all Pacific Peoples particularly vulnerable communities and marginalised groups.,"Number of new HIV infections  per 1,000 uninfected population ",NUMBER,Sex,,3.3.1,SH_HIV_INCD,,,H,Y -just needs data adding,Figure,Column with Drilldown,,NEED DATA UPDATE,,,,,No data / sentence,To do,,,,,,,,,,,NO,No data,Approved,,,,,
2,People Centred Development,1,Improved health and well-being of all Pacific peoples.,1.1,Strengthened institutional capacity and capability to address national and regional health priorities.,National strategy addressing NCDs and risk factors.(MANA L2). ,,,MANA Dashboard,,BPI_MANASL2,,(new indicator),H,N,Figure,Lollypop,,6 point scale to be represented,,OK,OK,Approved,,Approved,6,NO,,,,,,,,,NO,Not yet,Approved,,,,,
2,People Centred Development,1,Improved health and well-being of all Pacific peoples.,1.1,Strengthened institutional capacity and capability to address national and regional health priorities.,National guidelines for care of main NCDs (MANA L2),,,MANA Dashboard,,BPI_MANAGL2,,(new indicator),H,N,Figure,Lollypop,,6 point scale to be represented,,OK,OK,Approved,,Approved,6,NO,,,,,,,,,NO,Not yet,Approved,,,,,
2,People Centred Development,2,"Improved educational achievement of Pacific learners through quality, accessible, affordable, and inclusive education at all levels. ",2.2,Strengthened Pacific education curriculum and assessment systems to meet employment and national development needs. ,"Completion rate, upper secondary",PERCENT,Sex,,,CR_3,,DF_UIS,H,Y,Figure,Column chart,,,,OK,OK,Approved,,No comment,100,NO,_T,_T,_T,_T,_T,_T,_Z,_T,YES,.Stat Data Explorer • Thematic (SDG goal 4) indicators on Education (pacificdata.org),Approved,change axis label,,,,
2,People Centred Development,2,"Improved educational achievement of Pacific learners through quality, accessible, affordable, and inclusive education at all levels. ",2.3,"Improved access to quality, relevant, equitable, accessible, affordable, and inclusive formal and non-formal education for all Pacific learners, including learners with disabilities.",Proportion of schools with access to electricity,PERCENT,School level,,4..a.1,SE_ACS_ELECT,,,H,Y,Figure,Column chart,,,,OK,OK,Approved,,No comment,100,YES,_T,_T,_T,_T,_T,_T,(SECONDARY_LOWER) + (PRIMARY_ALL) + (SECONDARY_UPPER),_T,YES,.Stat Data Explorer • Sustainable Development Goal 04 - Quality Education (pacificdata.org),Approved,,,,,
2,People Centred Development,2,"Improved educational achievement of Pacific learners through quality, accessible, affordable, and inclusive education at all levels. ",2.3,"Improved access to quality, relevant, equitable, accessible, affordable, and inclusive formal and non-formal education for all Pacific learners, including learners with disabilities.",Proportion of schools with access to computers for pedagogical purposes,PERCENT,School level,,4..a.1,SE_ACS_CMPTR,,,H,Y,Figure,Column chart,,,,OK,OK,Approved,,No comment,100,YES,_T,_T,_T,_T,_T,_T,(SECONDARY_LOWER) + (PRIMARY_ALL) + (SECONDARY_UPPER),_T,YES,.Stat Data Explorer • Sustainable Development Goal 04 - Quality Education (pacificdata.org),Approved,,,,,
2,People Centred Development,2,"Improved educational achievement of Pacific learners through quality, accessible, affordable, and inclusive education at all levels. ",2.3,"Improved access to quality, relevant, equitable, accessible, affordable, and inclusive formal and non-formal education for all Pacific learners, including learners with disabilities.",Proportion of schools with access to basic drinking water,PERCENT,School level,,4..a.1,SE_ACS_H2O,,,H,Y,Figure,Column chart,,,,OK,OK,Approved,,No comment,100,YES,_T,_T,_T,_T,_T,_T,(SECONDARY_LOWER) + (PRIMARY_ALL) + (SECONDARY_UPPER),_T,YES,.Stat Data Explorer • Sustainable Development Goal 04 - Quality Education (pacificdata.org),Approved,,,,,
2,People Centred Development,2,"Improved educational achievement of Pacific learners through quality, accessible, affordable, and inclusive education at all levels. ",2.3,"Improved access to quality, relevant, equitable, accessible, affordable, and inclusive formal and non-formal education for all Pacific learners, including learners with disabilities.",Proportion of schools with basic handwashing facilities,PERCENT,School level,,4..a.1,SE_ACC_HNDWSH,,,H,Y,Figure,Column chart,,,,OK,OK,Approved,,No comment,100,YES,_T,_T,_T,_T,_T,_T,(SECONDARY_LOWER) + (PRIMARY_ALL) + (SECONDARY_UPPER),_T,YES,.Stat Data Explorer • Sustainable Development Goal 04 - Quality Education (pacificdata.org),Approved,,,,,
